ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_1652045			-0.323	2.75
ILMN_1652056	TTN	titin	-0.347	2.941
ILMN_1652065	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	-2.055	8.1
ILMN_1652072	NIM1K	NIM1 serine/threonine protein kinase	-0.74	10.316
ILMN_1652082	ELF4	E74 like ETS transcription factor 4	-0.534	3.079
ILMN_1652085	MPHOSPH10	M-phase phosphoprotein 10	0.965	13.171
ILMN_1652088	PAPOLB	poly(A) polymerase beta	-0.342	2.934
ILMN_1652104	KRAS	KRAS proto-oncogene, GTPase	-0.317	2.461
ILMN_1652120	ZNF302	zinc finger protein 302	-0.235	2.492
ILMN_1652128	LMBRD1	LMBR1 domain containing 1	-0.749	6.531
ILMN_1652137	NPY4R	neuropeptide Y receptor Y4	-0.394	3.798
ILMN_1652143	E2F3	E2F transcription factor 3	0.956	18.124
ILMN_1652161	PNKD	paroxysmal nonkinesigenic dyskinesia	-0.267	1.869
ILMN_1652171	CDKN2C	cyclin dependent kinase inhibitor 2C	-0.333	2.652
ILMN_1652178			-0.351	2.717
ILMN_1652181	KIF2B	kinesin family member 2B	-0.388	2.893
ILMN_1652198	CCM2	CCM2 scaffolding protein	-0.537	6.071
ILMN_1652207	COX4I1	cytochrome c oxidase subunit 4I1	-0.299	2.678
ILMN_1652219	NOL4L	nucleolar protein 4 like	-0.322	3.152
ILMN_1652223	WDR91	WD repeat domain 91	-0.334	4.184
ILMN_1652240	STMN1	stathmin 1	-0.322	2.521
ILMN_1652243			-0.322	2.726
ILMN_1652244	POPDC3	popeye domain containing 3	-0.398	3.179
ILMN_1652249	PTPA	protein phosphatase 2 phosphatase activator	-0.35	2.917
ILMN_1652263	CDY2A	chromodomain Y-linked 2A	-0.355	3.146
ILMN_1652277	SECTM1	secreted and transmembrane 1	-0.637	7.416
ILMN_1652280	FBXO32	F-box protein 32	-1.195	8.975
ILMN_1652287	NOG	noggin	-0.323	2.691
ILMN_1652306	MEGF10	multiple EGF like domains 10	-0.378	3.629
ILMN_1652309	TTC8	tetratricopeptide repeat domain 8	-0.416	3.306
ILMN_1652333	FN3KRP	fructosamine 3 kinase related protein	0.258	1.842
ILMN_1652348			-0.31	2.476
ILMN_1652357	PDHX	pyruvate dehydrogenase complex component X	0.495	6.532
ILMN_1652366	NLRP7	NLR family pyrin domain containing 7	-0.7	7.568
ILMN_1652371	KIAA1324L	KIAA1324 like	-0.371	1.592
ILMN_1652376	IFNA17	interferon alpha 17	-0.351	3.045
ILMN_1652379	SUCLG2	succinate-CoA ligase GDP-forming beta subunit	-0.669	4.937
ILMN_1652389	CALML4	calmodulin like 4	-0.749	3.743
ILMN_1652390	GJB3	gap junction protein beta 3	1.019	5.045
ILMN_1652392			-0.354	3.143
ILMN_1652394	RAB2A	RAB2A, member RAS oncogene family	0.445	3.519
ILMN_1652397	TRPT1	tRNA phosphotransferase 1	-0.339	2.621
ILMN_1652407	ZMYND8	zinc finger MYND-type containing 8	0.478	2.375
ILMN_1652409	SPATA7	spermatogenesis associated 7	0.4	4.994
ILMN_1652412	PHKB	phosphorylase kinase regulatory subunit beta	-0.304	2.906
ILMN_1652413	UCN2	urocortin 2	0.48	2.557
ILMN_1652421	ANKRD35	ankyrin repeat domain 35	-1.025	12.225
ILMN_1652423	RREB1	ras responsive element binding protein 1	-0.297	2.878
ILMN_1652424	OR1S1	olfactory receptor family 1 subfamily S member 1 (gene/pseudogene)	-0.292	2.137
ILMN_1652431	CA1	carbonic anhydrase 1	-5.004	15.197
ILMN_1652445	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	1.262	15.511
ILMN_1652456	TMEM98	transmembrane protein 98	-0.432	4.141
ILMN_1652461	PARD3B	par-3 family cell polarity regulator beta	-0.356	3.086
ILMN_1652464	TUBA3E	tubulin alpha 3e	-0.36	2.945
ILMN_1652465	SLC26A4	solute carrier family 26 member 4	-0.349	3.275
ILMN_1652474	SPG21	spastic paraplegia 21 (autosomal recessive, Mast syndrome)	-0.316	3.512
ILMN_1652478	NOMO2	NODAL modulator 2	0.396	5.644
ILMN_1652490	MANSC1	MANSC domain containing 1	-0.345	3.323
ILMN_1652505	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	0.49	4.105
ILMN_1652512	C2CD2	C2 calcium dependent domain containing 2	0.244	1.849
ILMN_1652521	MTMR9	myotubularin related protein 9	-0.762	8.389
ILMN_1652525	MVB12B	multivesicular body subunit 12B	-0.531	5.43
ILMN_1652533			-0.836	5.666
ILMN_1652540	RELL2	RELT like 2	0.349	2.201
ILMN_1652549	DTNA	dystrobrevin alpha	-0.484	5.906
ILMN_1652578	TSHB	thyroid stimulating hormone beta	-0.332	2.69
ILMN_1652580	POLD1	DAN polymerase delta 1, catalytic subunit	0.789	12.102
ILMN_1652594	ACTR5	ARP5 actin-related protein 5 homolog	0.831	11.576
ILMN_1652602	LMNTD2	lamin tail domain containing 2	-0.339	1.849
ILMN_1652631	GLIPR2	GLI pathogenesis related 2	-1.39	8.941
ILMN_1652642	SURF6	surfeit 6	0.411	5.476
ILMN_1652647	INPP4A	inositol polyphosphate-4-phosphatase type I A	-0.239	2.406
ILMN_1652650	SH3KBP1	SH3 domain containing kinase binding protein 1	-0.608	4.989
ILMN_1652653	KIAA1683	KIAA1683	-1.215	14.207
ILMN_1652662	GRB10	growth factor receptor bound protein 10	-0.32	3.673
ILMN_1652670	PRAMEF1	PRAME family member 1	-0.367	3.166
ILMN_1652677	FAM89A	family with sequence similarity 89 member A	0.517	6.188
ILMN_1652693	SHH	sonic hedgehog	-0.327	2.473
ILMN_1652694	FAM131B	family with sequence similarity 131 member B	-0.351	2.701
ILMN_1652701			-0.418	3.798
ILMN_1652715	C10orf111	chromosome 10 open reading frame 111	-0.254	2.092
ILMN_1652719	TMCO5A	transmembrane and coiled-coil domains 5A	-0.306	2.32
ILMN_1652722	C14orf2	chromosome 14 open reading frame 2	0.31	2.292
ILMN_1652727	GLT8D1	glycosyltransferase 8 domain containing 1	-0.286	2.545
ILMN_1652729	ANK2	ankyrin 2, neuronal	-0.379	3.801
ILMN_1652732	HTR7	5-hydroxytryptamine receptor 7	-0.352	2.868
ILMN_1652735	RFXAP	regulatory factor X associated protein	0.303	2.605
ILMN_1652736	RPS6KA3	ribosomal protein S6 kinase A3	-0.331	3.323
ILMN_1652748			0.678	8.255
ILMN_1652753	PAAF1	proteasomal ATPase associated factor 1	0.705	7.029
ILMN_1652774	L3MBTL3	l(3)mbt-like 3 (Drosophila)	-0.312	2.464
ILMN_1652780	TMOD2	tropomodulin 2	-0.32	2.424
ILMN_1652784			-0.363	2.995
ILMN_1652787	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	-0.381	1.699
ILMN_1652788			-0.346	3.026
ILMN_1652794	NEK3	NIMA related kinase 3	-0.463	3.756
ILMN_1652802	SP140	SP140 nuclear body protein	-0.347	3.74
ILMN_1652807	HOXA3	homeobox A3	-0.332	2.686
ILMN_1652819	OPA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	-0.394	4.226
ILMN_1652825	IL10RA	interleukin 10 receptor subunit alpha	-1.186	12.856
ILMN_1652826	LRRC17	leucine rich repeat containing 17	-0.733	7.323
ILMN_1652852	GAS2	growth arrest specific 2	-0.328	3.125
ILMN_1652857	SLC15A1	solute carrier family 15 member 1	-1.752	10.3
ILMN_1652865	BAIAP2	BAI1 associated protein 2	-0.326	3.16
ILMN_1652866	LMX1B	LIM homeobox transcription factor 1 beta	-0.342	2.792
ILMN_1652872	UBOX5	U-box domain containing 5	-0.299	2.823
ILMN_1652906	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	-0.394	3.466
ILMN_1652907	CDC5L	cell division cycle 5 like	0.478	6.893
ILMN_1652913	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	0.729	7.255
ILMN_1652918	RHOF	ras homolog family member F, filopodia associated	-1.005	6.821
ILMN_1652928	ORAI2	ORAI calcium release-activated calcium modulator 2	-0.355	3.305
ILMN_1652938	PRRG3	proline rich and Gla domain 3	-0.377	3.521
ILMN_1652940	TUBA3FP	tubulin alpha 3f pseudogene	-0.337	2.914
ILMN_1652952	RASAL2	RAS protein activator like 2	-0.348	3.208
ILMN_1652959	ABCD2	ATP binding cassette subfamily D member 2	-0.356	2.782
ILMN_1652975	DLK1	delta like non-canonical Notch ligand 1	-0.359	2.96
ILMN_1652989	NUP160	nucleoporin 160	1.056	13.213
ILMN_1652992	PRDM2	PR/SET domain 2	-0.362	3.218
ILMN_1652996			-0.308	2.281
ILMN_1652998	HIST1H2BL	histone cluster 1, H2bl	-0.231	1.501
ILMN_1653001	CABLES1	Cdk5 and Abl enzyme substrate 1	-0.586	3.688
ILMN_1653006	CSN1S1	casein alpha s1	-0.304	2.442
ILMN_1653009	RGS12	regulator of G-protein signaling 12	-0.338	3.037
ILMN_1653026	PLAC8	placenta specific 8	-2.228	8.371
ILMN_1653028	COL4A1	collagen type IV alpha 1 chain	0.955	6
ILMN_1653035			-0.363	3.043
ILMN_1653040	PCDHGA12	protocadherin gamma subfamily A, 12	-0.36	3.07
ILMN_1653042	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	0.496	4.059
ILMN_1653055	SOX3	SRY-box 3	-0.344	2.691
ILMN_1653073	OR10Q1	olfactory receptor family 10 subfamily Q member 1	-0.289	2.376
ILMN_1653098	SLC30A4	solute carrier family 30 member 4	-0.992	11.081
ILMN_1653103	CNBD2	cyclic nucleotide binding domain containing 2	-0.302	2.411
ILMN_1653115	ECH1	enoyl-CoA hydratase 1	-0.71	7.996
ILMN_1653120	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	-0.345	2.987
ILMN_1653125	PER1	period circadian clock 1	-0.858	12.08
ILMN_1653129	CSTF2	cleavage stimulation factor subunit 2	0.713	7.199
ILMN_1653133	SH3D19	SH3 domain containing 19	-0.427	2.857
ILMN_1653146	MSH4	mutS homolog 4	-0.328	2.31
ILMN_1653158	DPRX	divergent-paired related homeobox	-0.314	2.378
ILMN_1653161	SNCG	synuclein gamma	-0.577	6.603
ILMN_1653162	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	-0.924	6.544
ILMN_1653166	CLEC10A	C-type lectin domain family 10 member A	-0.859	14.223
ILMN_1653174	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	-0.344	2.792
ILMN_1653200	SLC22A17	solute carrier family 22 member 17	-1.307	11.947
ILMN_1653203	EFEMP2	EGF containing fibulin like extracellular matrix protein 2	-0.551	2.055
ILMN_1653211	ATP1B4	ATPase Na+/K+ transporting family member beta 4	-0.351	2.902
ILMN_1653228	C3orf22	chromosome 3 open reading frame 22	-0.316	2.267
ILMN_1653266			-0.486	4.722
ILMN_1653267	GPR26	G protein-coupled receptor 26	-0.279	2.217
ILMN_1653274	NUDT10	nudix hydrolase 10	-0.395	3.659
ILMN_1653278	MUC20	mucin 20, cell surface associated	-0.926	3.236
ILMN_1653280	GZMB	granzyme B	0.48	2.125
ILMN_1653282	LCE2A	late cornified envelope 2A	-0.355	2.849
ILMN_1653292	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	1.113	11.115
ILMN_1653310	ZNF580	zinc finger protein 580	-0.272	2.758
ILMN_1653324	IL22RA2	interleukin 22 receptor subunit alpha 2	-0.417	4.083
ILMN_1653340	RECQL5	RecQ like helicase 5	-0.27	2.639
ILMN_1653341	KRTAP19-2	keratin associated protein 19-2	-0.389	3.67
ILMN_1653342	DUS1L	dihydrouridine synthase 1 like	0.717	9.76
ILMN_1653355	POTEG	POTE ankyrin domain family member G	-0.351	2.748
ILMN_1653358	FUT3	fucosyltransferase 3 (Lewis blood group)	-0.714	2.482
ILMN_1653372	ATP8B3	ATPase phospholipid transporting 8B3	-0.284	1.988
ILMN_1653376	FAM171B	family with sequence similarity 171 member B	-0.344	2.69
ILMN_1653385	KIF3A	kinesin family member 3A	-0.278	2.199
ILMN_1653386	SULT6B1	sulfotransferase family 6B member 1	-0.323	2.843
ILMN_1653395	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	-0.312	2.524
ILMN_1653397	LRRC43	leucine rich repeat containing 43	-0.328	2.783
ILMN_1653404	NKIRAS2	NFKB inhibitor interacting Ras like 2	0.197	2.441
ILMN_1653412	RAX2	retina and anterior neural fold homeobox 2	-0.849	6.745
ILMN_1653415	SPANXA2	SPANX family member A2	-0.338	2.835
ILMN_1653429	SLC35A3	solute carrier family 35 member A3	-1.018	8.361
ILMN_1653432	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	0.51	3.468
ILMN_1653434	DMD	dystrophin	-0.928	11.833
ILMN_1653438			0.906	12.507
ILMN_1653444	RPL22	ribosomal protein L22	0.827	6.5
ILMN_1653447	PSORS1C2	psoriasis susceptibility 1 candidate 2	-0.288	2.025
ILMN_1653453	MID1	midline 1	-0.366	3.344
ILMN_1653459			-0.331	3.255
ILMN_1653461	CCSER1	coiled-coil serine rich protein 1	-0.281	2.234
ILMN_1653463	SULT1C3	sulfotransferase family 1C member 3	-0.294	2.287
ILMN_1653464	RASD2	RASD family member 2	-0.818	9.851
ILMN_1653471	CDY1B	chromodomain Y-linked 1B	-0.339	2.663
ILMN_1653494	S100A1	S100 calcium binding protein A1	-0.329	2.86
ILMN_1653496	GLUL	glutamate-ammonia ligase	-0.292	2.606
ILMN_1653501	SEMA3B	semaphorin 3B	-0.748	4.023
ILMN_1653504	S1PR1	sphingosine-1-phosphate receptor 1	-0.592	5.721
ILMN_1653517	LBR	lamin B receptor	-0.29	2.467
ILMN_1653529	TEX10	testis expressed 10	0.989	16.164
ILMN_1653571			-0.304	3.528
ILMN_1653591	TRIM40	tripartite motif containing 40	-0.485	5.417
ILMN_1653609	KYAT3	kynurenine aminotransferase 3	-0.24	2.042
ILMN_1653612	KCTD9	potassium channel tetramerization domain containing 9	-1.023	10.927
ILMN_1653618	ZZZ3	zinc finger ZZ-type containing 3	0.789	10.669
ILMN_1653629	FAM46D	family with sequence similarity 46 member D	-0.362	3
ILMN_1653646	UBL7	ubiquitin like 7	-0.262	2.359
ILMN_1653652	PTPRC	protein tyrosine phosphatase, receptor type C	-0.41	3.137
ILMN_1653666	KLHL7	kelch like family member 7	-0.261	2.001
ILMN_1653670	CUL3	cullin 3	-0.438	4.958
ILMN_1653690	TNFSF14	tumor necrosis factor superfamily member 14	-0.354	2.987
ILMN_1653704	IL9	interleukin 9	-0.335	2.467
ILMN_1653708	CORO1B	coronin 1B	-0.387	2.341
ILMN_1653709	TIMM9	translocase of inner mitochondrial membrane 9	0.967	13.731
ILMN_1653718	ZFAND2B	zinc finger AN1-type containing 2B	-0.799	10.222
ILMN_1653730	OXCT2	3-oxoacid CoA-transferase 2	-0.357	4.067
ILMN_1653748	CST11	cystatin 11	-0.352	3.043
ILMN_1653750	SOX10	SRY-box 10	-0.968	13.31
ILMN_1653751	HOPX	HOP homeobox	-0.611	2.034
ILMN_1653762	NRSN1	neurensin 1	-0.58	7.039
ILMN_1653765	GALE	UDP-galactose-4-epimerase	-0.257	1.98
ILMN_1653766	CCL24	C-C motif chemokine ligand 24	-0.26	1.84
ILMN_1653767	RNF6	ring finger protein 6	-0.28	2.094
ILMN_1653771	WDR63	WD repeat domain 63	-0.303	2.572
ILMN_1653774	RNF215	ring finger protein 215	-0.349	3.713
ILMN_1653783	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1	-0.383	3.244
ILMN_1653788	RNF208	ring finger protein 208	-0.23	1.671
ILMN_1653797	C6orf62	chromosome 6 open reading frame 62	0.308	1.808
ILMN_1653822	NEK2	NIMA related kinase 2	0.778	9.241
ILMN_1653826	FGF13	fibroblast growth factor 13	-0.386	3.44
ILMN_1653828	CHFR	checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase	-0.678	8.242
ILMN_1653834	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1	-0.217	1.465
ILMN_1653867	ZNF483	zinc finger protein 483	-0.455	4.501
ILMN_1653871	NAMPT	nicotinamide phosphoribosyltransferase	0.857	6.186
ILMN_1653878	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	-0.717	4.497
ILMN_1653894	GMIP	GEM interacting protein	-0.56	3.837
ILMN_1653896	ATRIP	ATR interacting protein	0.485	5.867
ILMN_1653904			-0.299	2.092
ILMN_1653933	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	0.354	2.843
ILMN_1653940	USP2	ubiquitin specific peptidase 2	-0.789	9.875
ILMN_1653965	ITGB4	integrin subunit beta 4	-0.319	3.039
ILMN_1653969			-0.356	2.918
ILMN_1653980	METTL8	methyltransferase like 8	-0.393	3.9
ILMN_1654016	MYL12B	myosin light chain 12B	-0.552	5.991
ILMN_1654028	DHCR7	7-dehydrocholesterol reductase	1.632	18.828
ILMN_1654031	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	-0.35	2.716
ILMN_1654032	ZER1	zyg-11 related cell cycle regulator	-0.993	14.995
ILMN_1654037	PPIE	peptidylprolyl isomerase E	-0.721	8.053
ILMN_1654060	MKNK2	MAP kinase interacting serine/threonine kinase 2	-0.805	8.926
ILMN_1654065	ATOH8	atonal bHLH transcription factor 8	-0.96	13.93
ILMN_1654072	CX3CL1	C-X3-C motif chemokine ligand 1	-0.316	1.611
ILMN_1654074	ITGA3	integrin subunit alpha 3	-0.323	2.931
ILMN_1654087	POU2F2	POU class 2 homeobox 2	-1.251	9.063
ILMN_1654109	EGFLAM	EGF like, fibronectin type III and laminin G domains	-0.281	1.515
ILMN_1654112	PARD6A	par-6 family cell polarity regulator alpha	0.293	1.83
ILMN_1654118	BCL2L1	BCL2 like 1	0.602	5.938
ILMN_1654129	AIDA	axin interactor, dorsalization associated	-0.37	2.922
ILMN_1654153			-0.355	3.072
ILMN_1654165	SLC45A2	solute carrier family 45 member 2	-0.587	6.912
ILMN_1654194	AAGAB	alpha- and gamma-adaptin binding protein	-0.492	3.394
ILMN_1654195	GCC2	GRIP and coiled-coil domain containing 2	-0.316	2.39
ILMN_1654210	CD1C	CD1c molecule	-0.76	9.477
ILMN_1654212	DOK7	docking protein 7	-0.243	1.92
ILMN_1654217	MPP2	membrane palmitoylated protein 2	-0.665	7.912
ILMN_1654228	PCDHGA3	protocadherin gamma subfamily A, 3	-0.346	2.919
ILMN_1654241			-0.303	2.466
