ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1665538	2.80e-20	4.59e-23	15.312779	42.167889	1.4773743	340805879	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
ILMN_1662658	2.80e-20	4.67e-23	15.307767	42.151613	1.7653611	259155298	PUS1	pseudouridylate synthase 1
ILMN_1803256	2.83e-20	4.85e-23	-15.296301	42.114369	-1.8364988	931717611	STOX2	storkhead box 2
ILMN_1768094	3.07e-20	5.40e-23	-15.263532	42.007832	-1.2357371	53832029	GLTP	glycolipid transfer protein
ILMN_1746471	3.18e-20	5.74e-23	-15.244928	41.947285	-2.0832905	95147561	FGL2	fibrinogen like 2
ILMN_1709399	3.79e-20	7.01e-23	-15.184426	41.750074	-2.1031196	751868080	SLC25A34	solute carrier family 25 member 34
ILMN_1698259	7.08e-20	1.34e-22	-14.989167	41.110358	-1.6899747	153791886	TMEM100	transmembrane protein 100
ILMN_1770692	7.13e-20	1.38e-22	14.980363	41.081396	1.749795	217330643	WDR12	WD repeat domain 12
ILMN_1670353	7.30e-20	1.45e-22	14.966298	41.035108	1.843148	195947392	RAD51AP1	RAD51 associated protein 1
ILMN_1701298	7.54e-20	1.53e-22	14.949924	40.981186	1.6370256	57165416	CCT2	chaperonin containing TCP1 subunit 2
ILMN_1753196	7.56e-20	1.57e-22	14.942529	40.956823	2.3297191	538260590	PTTG1	pituitary tumor-transforming 1
ILMN_1664516	8.43e-20	1.79e-22	14.903483	40.828062	2.2346321	55770833	CENPF	centromere protein F
ILMN_1720526	1.12e-19	2.42e-22	14.812418	40.52699	2.1834611	395132500	CENPN	centromere protein N
ILMN_1777564	1.14e-19	2.51e-22	14.801373	40.490398	2.3068194	194688136	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
ILMN_1746686	1.26e-19	2.83e-22	14.765866	40.372663	1.6839002	974141106	POLR1C	RNA polymerase I subunit C
ILMN_1741133	1.71e-19	3.94e-22	14.668083	40.047571	2.1318912	38045912	NME1	NME/NM23 nucleoside diphosphate kinase 1
ILMN_1720822	1.73e-19	4.05e-22	14.65979	40.019942	2.9015714	387598041	ETV4	ETS variant 4
ILMN_1788166	2.10e-19	5.01e-22	14.596792	39.809762	2.0318089	262399359	TTK	TTK protein kinase
ILMN_1681503	2.73e-19	6.65e-22	14.513379	39.53067	1.8527984	409971406	MCM2	minichromosome maintenance complex component 2
ILMN_1673991	2.87e-19	7.11e-22	14.493508	39.464049	1.1652783	258613988	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ILMN_1687841	3.03e-19	7.66e-22	-14.47163	39.390636	-2.2692042	59814903	SCGN	secretagogin, EF-hand calcium binding protein
ILMN_1736090	3.24e-19	8.33e-22	14.447072	39.308158	2.0006364	519666795	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
ILMN_1789961	3.97e-19	1.04e-21	-14.38218	39.089834	-1.7105779	203098012	RETSAT	retinol saturase
ILMN_1663332	4.67e-19	1.26e-21	14.324796	38.896308	2.1372104	568599838	KIAA0101	KIAA0101
ILMN_1813638	4.67e-19	1.26e-21	14.324761	38.89619	2.2873423	145580627	IQGAP3	IQ motif containing GTPase activating protein 3
ILMN_1786396	5.46e-19	1.50e-21	-14.274529	38.726428	-1.8029954	73747880	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1
ILMN_1806533	5.80e-19	1.62e-21	-14.25193	38.649942	-1.6838516	57242789	PDE7B	phosphodiesterase 7B
ILMN_1704654	5.88e-19	1.67e-21	-14.243506	38.621417	-1.4641654	156071487	KAT2B	lysine acetyltransferase 2B
ILMN_1742577	6.01e-19	1.73e-21	14.232274	38.583364	1.521985	55953086	GTPBP4	GTP binding protein 4
ILMN_1671257	6.05e-19	1.77e-21	14.226066	38.562328	1.9603736	570700849	DKC1	dyskerin pseudouridine synthase 1
ILMN_1796685	6.66e-19	1.98e-21	-14.193612	38.452261	-3.7508455	119964719	BEST4	bestrophin 4
ILMN_1724489	6.69e-19	2.02e-21	14.187889	38.432838	1.6061425	196114934	RFC4	replication factor C subunit 4
ILMN_1724898	6.72e-19	2.06e-21	14.182382	38.414141	2.0024374	225735556	NFE2L3	nuclear factor, erythroid 2 like 3
ILMN_1679800	6.75e-19	2.12e-21	14.173762	38.384872	1.8298657	55770899	BRIX1	BRX1, biogenesis of ribosomes
ILMN_1680591	6.75e-19	2.13e-21	14.171823	38.378286	1.5969193	62739178	RTKN	rhotekin
ILMN_1804812	6.75e-19	2.16e-21	14.168361	38.366528	1.4431876	359338995	ANAPC1	anaphase promoting complex subunit 1
ILMN_1713143	6.93e-19	2.25e-21	14.156408	38.325915	1.6875586	312147300	MRPL3	mitochondrial ribosomal protein L3
ILMN_1689110	7.26e-19	2.39e-21	14.138842	38.266196	1.0497024	442796430	NOB1	NIN1/PSMD8 binding protein 1 homolog
ILMN_1663195	7.26e-19	2.42e-21	14.134939	38.25292	1.5188544	518830465	MCM7	minichromosome maintenance complex component 7
ILMN_1801869	7.44e-19	2.52e-21	14.124	38.215707	0.9803801	733605974	WDR75	WD repeat domain 75
ILMN_1683176	7.78e-19	2.67e-21	-14.107319	38.158926	-1.708706	523498699	FXYD1	FXYD domain containing ion transport regulator 1
ILMN_1801257	7.83e-19	2.72e-21	14.101706	38.139811	1.8871206	109637780	CENPA	centromere protein A
ILMN_1755954	8.24e-19	2.90e-21	-14.083261	38.076969	-1.2979159	296011033	CPEB3	cytoplasmic polyadenylation element binding protein 3
ILMN_1682792	8.60e-19	3.06e-21	14.067069	38.021767	1.4178216	51173723	BYSL	bystin like
ILMN_1666530	9.14e-19	3.29e-21	14.045834	37.949319	1.1744093	217416361	ZC3H8	zinc finger CCCH-type containing 8
ILMN_1705301	9.20e-19	3.36e-21	14.040097	37.929737	1.8410435	300360560	TEAD4	TEA domain transcription factor 4
ILMN_1708101	1.11e-18	4.11e-21	13.982246	37.732017	1.8048285	388240800	LMNB2	lamin B2
ILMN_1781942	1.13e-18	4.26e-21	13.971703	37.695937	2.0870245	217416397	HMMR	hyaluronan mediated motility receptor
ILMN_1659364	1.13e-18	4.29e-21	13.969813	37.689467	1.3819042	332164784	RFC5	replication factor C subunit 5
ILMN_1772521	1.15e-18	4.42e-21	13.960729	37.658368	1.8781176	337756494	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
ILMN_1715612	1.18e-18	4.58e-21	-13.950969	37.62494	-3.145999	291290867	OTOP2	otopetrin 2
ILMN_1731184	1.18e-18	4.64e-21	13.946946	37.611157	1.8830056	375493529	MELK	maternal embryonic leucine zipper kinase
ILMN_1710962	1.18e-18	4.69e-21	13.943741	37.600176	2.1382512	109948301	TMEM97	transmembrane protein 97
ILMN_1726839	1.22e-18	4.91e-21	13.930705	37.555492	1.672311	262231819	DCUN1D5	defective in cullin neddylation 1 domain containing 5
ILMN_1680344	1.30e-18	5.26e-21	-13.910984	37.487856	-2.9517158	140560918	MYOM1	myomesin 1
ILMN_1815745	1.33e-18	5.47e-21	13.899682	37.449073	1.7193537	30179901	SOX4	SRY-box 4
ILMN_1693233	1.34e-18	5.54e-21	-13.895607	37.435083	-1.3832257	557440799	KIAA0513	KIAA0513
ILMN_1770663	1.41e-18	6.01e-21	-13.872609	37.356095	-2.2471617	192807291	KRT24	keratin 24
ILMN_1809440	1.41e-18	6.04e-21	13.871072	37.350816	1.6829506	193211423	KIF15	kinesin family member 15
ILMN_1753923	1.41e-18	6.06e-21	13.870133	37.34759	2.6982621	239582723	MYC	v-myc avian myelocytomatosis viral oncogene homolog
ILMN_1748476	1.41e-18	6.11e-21	13.867742	37.339372	1.6067238	953514559	NOP58	NOP58 ribonucleoprotein
ILMN_1655642	1.43e-18	6.31e-21	13.85827	37.306813	1.655819	82830439	FANCI	Fanconi anemia complementation group I
ILMN_1666305	1.43e-18	6.32e-21	13.857919	37.305608	2.0302854	195927023	CDKN3	cyclin dependent kinase inhibitor 3
ILMN_1682774	1.50e-18	6.67e-21	13.842212	37.251592	1.2301154	557948005	TEX30	testis expressed 30
ILMN_1726720	1.50e-18	6.76e-21	13.838632	37.239275	2.1530769	341865557	NUSAP1	nucleolar and spindle associated protein 1
ILMN_1763907	1.53e-18	6.96e-21	13.830209	37.210291	1.8817097	557357701	CENPW	centromere protein W
ILMN_1665559	1.55e-18	7.11e-21	13.823923	37.188654	1.2354101	589811555	CDK2	cyclin dependent kinase 2
ILMN_1735093	1.69e-18	7.86e-21	13.795174	37.08963	1.5169768	222136584	TIMELESS	timeless circadian clock
ILMN_1767219	1.69e-18	7.93e-21	13.79264	37.080897	1.4102341	NA		
ILMN_1796801	1.87e-18	8.94e-21	-13.758448	36.962975	-2.5311121	572882629	ABCA8	ATP binding cassette subfamily A member 8
ILMN_1749829	1.87e-18	8.94e-21	13.75824	36.962257	2.0089327	226371666	DLGAP5	DLG associated protein 5
ILMN_1696657	2.08e-18	1.01e-20	-13.723123	36.840978	-2.4457124	42544232	LRRN2	leucine rich repeat neuronal 2
ILMN_1790106	2.08e-18	1.01e-20	-13.72298	36.840483	-1.7412622	744066791	PLP1	proteolipid protein 1
ILMN_1786065	2.11e-18	1.03e-20	13.716497	36.818076	2.0787191	586798162	UHRF1	ubiquitin like with PHD and ring finger domains 1
ILMN_1786125	2.21e-18	1.10e-20	13.698946	36.757387	2.0092236	166197663	CCNA2	cyclin A2
ILMN_1773262	2.21e-18	1.12e-20	13.694763	36.742918	2.3679563	208022669	ESM1	endothelial cell specific molecule 1
ILMN_1761789	2.21e-18	1.12e-20	-13.694443	36.74181	-3.2377089	62240987	CA7	carbonic anhydrase 7
ILMN_1779147	2.38e-18	1.21e-20	13.671324	36.661793	1.8875394	375156566	ENC1	ectodermal-neural cortex 1
ILMN_1759184	2.39e-18	1.23e-20	13.66801	36.650316	1.8493583	588480504	C19orf48	chromosome 19 open reading frame 48
ILMN_1673950	2.57e-18	1.33e-20	-13.644692	36.569529	-1.2253857	339515664	STBD1	starch binding domain 1
ILMN_1751444	2.61e-18	1.37e-20	13.637329	36.544004	2.128437	402167319	NCAPG	non-SMC condensin I complex subunit G
ILMN_1665792	2.63e-18	1.39e-20	13.632838	36.52843	2.1093703	116295257	ITGA2	integrin subunit alpha 2
ILMN_1676846	2.72e-18	1.45e-20	13.620544	36.485789	1.5157791	108773781	ABCE1	ATP binding cassette subfamily E member 1
ILMN_1676296	2.89e-18	1.55e-20	-13.600924	36.417693	-1.0396947	507144090	PLPP1	phospholipid phosphatase 1
ILMN_1665797	3.12e-18	1.69e-20	13.57731	36.335671	1.9156914	371502110	CSE1L	chromosome segregation 1 like
ILMN_1735461	3.19e-18	1.74e-20	13.568452	36.304882	2.0059682	379317175	DDX21	DEAD-box helicase 21
ILMN_1771558	3.23e-18	1.77e-20	13.562817	36.285291	2.1741782	325651967	MCM4	minichromosome maintenance complex component 4
ILMN_1771734	3.35e-18	1.86e-20	13.549611	36.239362	1.3591473	53759143	GMPS	guanine monophosphate synthase
ILMN_1694177	3.57e-18	2.00e-20	13.529107	36.168007	1.5919431	33239449	PCNA	proliferating cell nuclear antigen
ILMN_1673529	3.84e-18	2.16e-20	-13.506432	36.089031	-1.2544249	507588253	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
ILMN_1667670	3.87e-18	2.20e-20	13.501522	36.071918	1.4568256	237649033	SLC25A15	solute carrier family 25 member 15
ILMN_1777190	3.99e-18	2.29e-20	-13.490679	36.034123	-2.8241662	955654849	CFD	complement factor D
ILMN_1706149	4.51e-18	2.60e-20	13.453752	35.905283	1.4559054	14150140	PDCD2L	programmed cell death 2 like
ILMN_1677765	4.58e-18	2.66e-20	13.447642	35.883949	1.8399112	337299696	LRP8	LDL receptor related protein 8
ILMN_1774823	4.74e-18	2.78e-20	13.4356	35.841885	1.3947437	984880774	RPL34	ribosomal protein L34
ILMN_1671969	4.85e-18	2.86e-20	-13.426804	35.811149	-2.4482435	NA		
ILMN_1664167	4.89e-18	2.91e-20	13.422578	35.796376	1.4462782	574282417	RPF2	ribosome production factor 2 homolog
ILMN_1740609	5.15e-18	3.09e-20	-13.405688	35.737319	-1.8925001	NA		
ILMN_1757627	5.40e-18	3.26e-20	13.390199	35.683126	1.3314887	37594445	ZMYND19	zinc finger MYND-type containing 19
ILMN_1815190	7.81e-18	4.76e-20	13.283157	35.307741	1.3478179	167004077	METTL1	methyltransferase like 1
ILMN_1706238	7.81e-18	4.79e-20	13.281549	35.302093	1.8932603	371502110	CSE1L	chromosome segregation 1 like
ILMN_1682197	7.81e-18	4.83e-20	13.279566	35.295124	1.125932	520261662	NFXL1	nuclear transcription factor, X-box binding like 1
ILMN_1807232	7.97e-18	4.95e-20	13.272143	35.269032	1.4243959	115298662	STIL	SCL/TAL1 interrupting locus
ILMN_1675515	8.00e-18	5.01e-20	13.268828	35.257379	1.1379685	194578874	NIT2	nitrilase family member 2
ILMN_1708936	8.17e-18	5.16e-20	13.260812	35.229189	1.278023	389616145	EXOSC3	exosome component 3
ILMN_1760650	8.45e-18	5.39e-20	13.248524	35.185966	1.29962	88853058	DPH2	DPH2 homolog
ILMN_1730710	8.45e-18	5.42e-20	-13.246991	35.180572	-1.3144257	130978679	ADORA3	adenosine A3 receptor
ILMN_1796013	8.45e-18	5.47e-20	13.244348	35.171271	1.8827748	533112481	PYCR1	pyrroline-5-carboxylate reductase 1
ILMN_1728107	8.45e-18	5.49e-20	-13.243523	35.168367	-1.6931563	148922844	GNG7	G protein subunit gamma 7
ILMN_1702197	8.69e-18	5.68e-20	13.233666	35.133671	2.1643563	190886453	SAPCD2	suppressor APC domain containing 2
ILMN_1702858	8.94e-18	5.89e-20	-13.223736	35.098707	-1.4245833	133922589	ADHFE1	alcohol dehydrogenase, iron containing 1
ILMN_1743065	9.26e-18	6.16e-20	13.210756	35.052984	1.4995283	117168247	HACD3	3-hydroxyacyl-CoA dehydratase 3
ILMN_1769394	9.26e-18	6.18e-20	-13.210035	35.050442	-2.1670265	195972884	PLCD1	phospholipase C delta 1
ILMN_1775235	1.01e-17	6.82e-20	-13.182569	34.953616	-1.9207671	68348713	AFF3	AF4/FMR2 family member 3
ILMN_1790859	1.01e-17	6.86e-20	-13.180715	34.947077	-2.423873	61175221	PLAC9	placenta specific 9
ILMN_1792494	1.02e-17	6.94e-20	13.177324	34.935112	2.3747297	40354199	TPX2	TPX2, microtubule nucleation factor
ILMN_1738307	1.04e-17	7.11e-20	13.170773	34.912	1.6726746	5453548	PRDX4	peroxiredoxin 4
ILMN_1741954	1.04e-17	7.19e-20	13.167636	34.900928	1.0185617	267844822	SMYD3	SET and MYND domain containing 3
ILMN_1784860	1.05e-17	7.26e-20	13.164788	34.890876	1.6190503	108773785	RFC3	replication factor C subunit 3
ILMN_1691076	1.09e-17	7.61e-20	-13.151618	34.844382	-2.1971163	51477722	TEX11	testis expressed 11
ILMN_1718968	1.09e-17	7.66e-20	-13.149789	34.837924	-2.1392396	83367074	MT1E	metallothionein 1E
ILMN_1695658	1.16e-17	8.19e-20	13.131007	34.77157	1.9405257	195539383	KIF20A	kinesin family member 20A
ILMN_1808824	1.17e-17	8.34e-20	13.126058	34.75408	1.93666	197313771	NEBL	nebulette
ILMN_1659725	1.20e-17	8.64e-20	13.11604	34.718663	1.5371868	47174863	EXOSC5	exosome component 5
ILMN_1787815	1.20e-17	8.66e-20	13.115492	34.716727	2.2917076	668259454	TRIB3	tribbles pseudokinase 3
ILMN_1664833	1.20e-17	8.69e-20	13.11462	34.713642	1.1693857	169658385	MRPL50	mitochondrial ribosomal protein L50
ILMN_1656395	1.21e-17	8.85e-20	-13.109306	34.69485	-1.8185567	209693442	MYOT	myotilin
ILMN_1733950	1.24e-17	9.07e-20	13.102355	34.670262	1.9159022	168229167	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
ILMN_1771586	1.24e-17	9.14e-20	13.100384	34.663287	1.0701113	734520319	NOC3L	NOC3 like DNA replication regulator
ILMN_1794539	1.25e-17	9.32e-20	13.095017	34.644299	1.6023296	197304797	KIF11	kinesin family member 11
ILMN_1716279	1.27e-17	9.53e-20	13.088661	34.621803	1.5427573	71061467	CENPE	centromere protein E
ILMN_1756705	1.27e-17	9.56e-20	13.08778	34.618685	1.4225958	157951660	CHTF18	chromosome transmission fidelity factor 18
ILMN_1705737	1.39e-17	1.06e-19	13.058857	34.516252	1.6798757	66933015	IMPDH2	inosine monophosphate dehydrogenase 2
ILMN_1716445	1.39e-17	1.06e-19	13.058287	34.514234	1.4370974	284055294	DTYMK	deoxythymidylate kinase
ILMN_1797933	1.52e-17	1.17e-19	13.030574	34.415981	1.2818346	169403966	MRPL17	mitochondrial ribosomal protein L17
ILMN_1705814	1.52e-17	1.18e-19	13.030097	34.41429	2.3259242	125628631	KRT80	keratin 80
ILMN_1660793	1.57e-17	1.22e-19	13.020058	34.378671	1.8305627	548961479	PAQR4	progestin and adipoQ receptor family member 4
ILMN_1758750	1.83e-17	1.43e-19	12.975561	34.220642	1.2241525	134288910	EARS2	glutamyl-tRNA synthetase 2, mitochondrial
ILMN_1654287	2.09e-17	1.64e-19	-12.937929	34.086792	-1.1557127	310703666	ADCY9	adenylate cyclase 9
ILMN_1745251	2.13e-17	1.68e-19	12.930892	34.061739	1.7688165	555943896	DTL	denticleless E3 ubiquitin protein ligase homolog
ILMN_1703906	2.15e-17	1.71e-19	12.925885	34.043912	1.6744966	545479117	HJURP	Holliday junction recognition protein
ILMN_1779185	2.38e-17	1.90e-19	-12.89633	33.938612	-1.1937802	513788260	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like
ILMN_1666924	2.97e-17	2.38e-19	-12.833815	33.715508	-1.4114947	112382374	PINK1	PTEN induced putative kinase 1
ILMN_1686915	3.04e-17	2.46e-19	12.825262	33.684942	1.3896121	63054847	CCDC34	coiled-coil domain containing 34
ILMN_1682232	3.27e-17	2.66e-19	-12.803554	33.607328	-1.1591907	225735604	MIER1	MIER1 transcriptional regulator
ILMN_1737396	3.33e-17	2.72e-19	12.79729	33.584918	1.1199471	375268695	PSMD14	proteasome 26S subunit, non-ATPase 14
ILMN_1796452	3.55e-17	2.91e-19	-12.777816	33.515223	-2.6601567	183396801	TRPM6	transient receptor potential cation channel subfamily M member 6
ILMN_1679476	3.65e-17	3.03e-19	12.767459	33.478134	1.4615308	209869996	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
ILMN_1811598	3.65e-17	3.03e-19	-12.766962	33.476355	-1.6777011	557786223	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
ILMN_1736814	3.69e-17	3.08e-19	12.762694	33.461067	1.3447915	222418789	CLNS1A	chloride nucleotide-sensitive channel 1A
ILMN_1768127	3.74e-17	3.14e-19	12.757555	33.442657	1.3817414	237649014	EBNA1BP2	EBNA1 binding protein 2
ILMN_1751776	3.74e-17	3.16e-19	12.75588	33.436656	1.5964316	748821156	CKAP2L	cytoskeleton associated protein 2 like
ILMN_1732516	3.89e-17	3.30e-19	12.743801	33.393365	1.3283552	156071508	KNTC1	kinetochore associated 1
ILMN_1786189	3.92e-17	3.36e-19	12.738719	33.375147	1.4011982	222352110	NIFK	nucleolar protein interacting with the FHA domain of MKI67
ILMN_1767253	3.92e-17	3.36e-19	12.738535	33.374485	1.3551129	223278378	RRP12	ribosomal RNA processing 12 homolog
ILMN_1746252	4.15e-17	3.57e-19	12.721794	33.314445	1.4832925	379056380	POLD2	DAN polymerase delta 2, accessory subunit
ILMN_1676372	4.38e-17	3.79e-19	-12.705463	33.255839	-1.8632226	223029378	CD209	CD209 molecule
ILMN_1799113	4.39e-17	3.82e-19	12.702856	33.246482	0.9862036	109134346	CEP83	centrosomal protein 83
ILMN_1748124	4.43e-17	3.88e-19	-12.698702	33.231569	-1.7757659	62865622	TSC22D3	TSC22 domain family member 3
ILMN_1735578	4.43e-17	3.90e-19	-12.697692	33.227942	-4.5763781	169791014	GUCA2B	guanylate cyclase activator 2B
ILMN_1815924	4.49e-17	3.97e-19	12.692418	33.209004	1.3316994	56788371	NUP107	nucleoporin 107
ILMN_1813561	4.72e-17	4.19e-19	-12.677347	33.154863	-2.3461443	194018526	SCIN	scinderin
ILMN_1658695	5.06e-17	4.51e-19	12.657188	33.0824	1.4812843	117968419	NUF2	NUF2, NDC80 kinetochore complex component
ILMN_1796089	5.47e-17	4.92e-19	-12.633282	32.996397	-1.6582365	148746210	NKX2-3	NK2 homeobox 3
ILMN_1793922	5.47e-17	4.93e-19	-12.63262	32.994014	-1.1470365	NA		
ILMN_1700337	5.86e-17	5.31e-19	12.612601	32.921936	1.7596957	154800452	TROAP	trophinin associated protein
ILMN_1658027	6.21e-17	5.66e-19	12.594956	32.858365	1.638795	216548185	RAD54L	RAD54-like (S. cerevisiae)
ILMN_1749297	6.38e-17	5.84e-19	12.586184	32.826746	1.5205704	749502310	ACTL6A	actin like 6A
ILMN_1809590	6.38e-17	5.87e-19	12.584853	32.821949	2.257492	212720602	GINS2	GINS complex subunit 2
ILMN_1710124	6.39e-17	5.90e-19	12.583267	32.81623	1.4930087	998429254	CMTM8	CKLF like MARVEL transmembrane domain containing 8
ILMN_1753249	6.43e-17	5.98e-19	12.579808	32.803758	1.3005083	540344586	DDX10	DEAD-box helicase 10
ILMN_1668605	6.43e-17	6.00e-19	-12.57884	32.800266	-1.9238894	109148547	NAAA	N-acylethanolamine acid amidase
ILMN_1656285	7.10e-17	6.66e-19	-12.550375	32.697568	-2.121861	89145416	METTL7A	methyltransferase like 7A
ILMN_1801939	7.16e-17	6.74e-19	12.546742	32.684454	2.0539918	332205979	CCNB2	cyclin B2
ILMN_1663390	7.38e-17	6.98e-19	12.537201	32.650001	2.4509968	118402581	CDC20	cell division cycle 20
ILMN_1678409	7.79e-17	7.44e-19	-12.519828	32.587238	-1.6807554	NA		
ILMN_1746632	7.79e-17	7.45e-19	-12.519537	32.586189	-1.91391	573014799	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2
ILMN_1712452	7.84e-17	7.53e-19	12.51653	32.57532	1.5698138	546231256	KIF20B	kinesin family member 20B
ILMN_1689001	8.04e-17	7.75e-19	12.508593	32.546632	1.6989773	345525417	CDK4	cyclin dependent kinase 4
ILMN_1795104	8.15e-17	7.90e-19	-12.503377	32.527771	-1.7535058	700674277	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain
ILMN_1810901	8.87e-17	8.63e-19	12.479062	32.439814	1.5292652	38455390	RNASEH2A	ribonuclease H2 subunit A
ILMN_1723678	8.93e-17	8.74e-19	-12.475827	32.428107	-2.5364617	66932907	PRPH	peripherin
ILMN_1711878	9.20e-17	9.04e-19	12.466593	32.394679	1.0638044	635372904	ENOPH1	enolase-phosphatase 1
ILMN_1804851	9.30e-17	9.18e-19	12.462216	32.378832	1.4673821	16554613	MRPS17	mitochondrial ribosomal protein S17
ILMN_1763228	9.36e-17	9.28e-19	-12.459284	32.368216	-1.2908892	410442513	MEF2D	myocyte enhancer factor 2D
ILMN_1723158	9.39e-17	9.35e-19	12.457205	32.360685	1.5005239	385198057	NOP2	NOP2 nucleolar protein
