"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"13464","ILMN_1788166",2.07540980633333,0.232011306166667,16.6947601803589,1.36833171718408e-25,7.75635000995602e-23,47.9119224733507,"TTK","TTK protein kinase"
"2203","ILMN_1670353",1.87691341566667,0.233679802833333,16.6674816252498,1.49531024804054e-25,8.0907225713491e-23,47.8242554496344,"RAD51AP1","RAD51 associated protein 1"
"13115","ILMN_1783931",-1.89420373106667,0.122669714333333,-16.6543606323365,1.56056873492754e-25,8.24277543229345e-23,47.7820544491874,"PLPP1","phospholipid phosphatase 1"
"1762","ILMN_1666305",2.09109273533333,0.160011265333333,16.4866903224089,2.69864354874733e-25,1.39224903454444e-22,47.2408776647915,"CDKN3","cyclin dependent kinase inhibitor 3"
"8760","ILMN_1736090",2.04012424646667,0.200223742833333,16.4609871956092,2.93588912495109e-25,1.48022191699807e-22,47.1576054797034,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase"
"1680","ILMN_1665538",1.5066044482,0.0891737015,16.3787724955757,3.84613828212881e-25,1.8960607033499e-22,46.8906899905428,"SKP2","S-phase kinase associated protein 2"
"14629","ILMN_1801257",1.92964740833333,0.0971590345,16.3719920964575,3.93290615629814e-25,1.89668674285474e-22,46.8686389176442,"CENPA","centromere protein A"
"13845","ILMN_1792494",2.482867636,0.196437505333333,16.3401250646498,4.36799196914977e-25,2.06169220943869e-22,46.7649238481306,"TPX2","TPX2 microtubule nucleation factor"
"9288","ILMN_1741133",2.218912476,0.137545536666667,16.3146884909504,4.74999854796971e-25,2.19529099558667e-22,46.6820453674812,"NME1","NME/NM23 nucleoside diphosphate kinase 1"
"10074","ILMN_1749829",2.071548463,0.1374399495,16.2745034531346,5.42359239156447e-25,2.45544844111155e-22,46.5509460383124,"DLGAP5","DLG associated protein 5"
"10226","ILMN_1751444",2.20651472066666,0.222523548,16.2542250477778,5.79939649989187e-25,2.57307623907203e-22,46.4847123146995,"NCAPG","non-SMC condensin I complex subunit G"
"4028","ILMN_1687841",-2.36993362266666,-0.142471300333333,-16.2242086707086,6.40458336545465e-25,2.78586818390678e-22,46.3865765724607,"SCGN","secretagogin, EF-hand calcium binding protein"
"5711","ILMN_1704294",2.84921265733333,0.592372677666667,16.1922582632109,7.11916746033531e-25,3.03714636423228e-22,46.2819921333566,"CDH3","cadherin 3"
"9453","ILMN_1742906",1.67054485866667,0.00237374,16.1608339152455,7.90067530438756e-25,3.30695435759498e-22,46.1790032426993,"TGIF1","TGFB induced factor homeobox 1"
"1429","ILMN_1663332",2.17647158433333,-0.0189508345,16.1551700345683,8.05050099375309e-25,3.30726507491516e-22,46.1604273246079,"PCLAF","PCNA clamp associated factor"
"6307","ILMN_1710962",2.22369032766666,0.208966740833333,16.1126520846652,9.27093907862134e-25,3.73939113672974e-22,46.0208503030896,"TMEM97","transmembrane protein 97"
"6056","ILMN_1708101",1.86112513033333,0.0404672861666667,16.0802952700344,1.03237930967277e-24,4.0896968938894e-22,45.9144758999261,"LMNB2","lamin B2"
"3382","ILMN_1681503",1.881549387,0.196063530166667,16.0747419700398,1.05162903163901e-24,4.09286639261049e-22,45.8962057854495,"MCM2","minichromosome maintenance complex component 2"
"5846","ILMN_1705803",2.48020159513333,-0.460325238,16.0272126715796,1.23196751003256e-24,4.71206331768317e-22,45.7396756934435,"SOX9","SRY-box transcription factor 9"
"7286","ILMN_1720822",2.99740944836667,0.64710638445,15.9814676035652,1.43505935409965e-24,5.39582317141467e-22,45.5887495210048,"ETV4","ETS variant transcription factor 4"
"6181","ILMN_1709399",-2.10177162386667,0.0697400619,-15.891198255427,1.94076065433613e-24,7.17563905929878e-22,45.2901404385846,"SLC25A34","solute carrier family 25 member 34"
"7859","ILMN_1726720",2.2197134213,-0.212939943416667,15.8082481051116,2.56348341990181e-24,9.32267478477079e-22,45.0148232432972,"NUSAP1","nucleolar and spindle associated protein 1"
"8329","ILMN_1731184",1.92162182233333,0.1858027075,15.7914086134007,2.71275743711596e-24,9.70642112660974e-22,44.9588240655438,"MELK","maternal embryonic leucine zipper kinase"
"3511","ILMN_1682774",1.266784363,-0.0189066678333333,15.7588985618154,3.02627833002713e-24,1.05600042353734e-21,44.8506099556387,"TEX30","testis expressed 30"
"12171","ILMN_1773262",2.4163438502,0.124926027833333,15.7569181004216,3.04652123631399e-24,1.05600042353734e-21,44.8440133344576,"ESM1","endothelial cell specific molecule 1"
"12944","ILMN_1781942",2.1317402673,0.307167735783333,15.7477231369655,3.14231407251533e-24,1.07244762130277e-21,44.8133796818797,"HMMR","hyaluronan mediated motility receptor"
"3552","ILMN_1683176",-1.7558957476,-0.00457118676666666,-15.7082771944643,3.58906605741056e-24,1.18835584205367e-21,44.6818394840638,"FXYD1","FXYD domain containing ion transport regulator 1"
"8315","ILMN_1731062",-2.17496675043333,-0.01580857255,-15.7084436412916,3.5870519671242e-24,1.18835584205367e-21,44.6823949539286,"NPY","neuropeptide Y"
"14787","ILMN_1803256",-1.888185291,-0.3708323595,-15.6722982580317,4.05240167680193e-24,1.32203645291432e-21,44.5616861405344,"STOX2","storkhead box 2"
"516","ILMN_1655642",1.686005577,-0.000298432166666661,15.6479986297096,4.39912062565633e-24,1.4143491588342e-21,44.4804420995927,"FANCI","FA complementation group I"
"9771","ILMN_1746471",-2.08476819716667,-0.272691107416667,-15.6405223803093,4.51171601600148e-24,1.42982725855681e-21,44.4554305014866,"FGL2","fibrinogen like 2"
"3513","ILMN_1682792",1.45159538526667,0.2079029153,15.6305551040291,4.66637276658634e-24,1.45801145709791e-21,44.4220740352226,"BYSL","bystin like"
"10898","ILMN_1759184",1.89780831366666,0.173316777166667,15.6217221425361,4.80790389398077e-24,1.48136861088985e-21,44.3925029625455,"C19orf48P","multidrug resistance-related protein"
"12304","ILMN_1774823",1.445671238,0.029620091,15.5881539818769,5.38652603930396e-24,1.63691361172492e-21,44.2800313894286,"RPL34","ribosomal protein L34"
"7657","ILMN_1724489",1.63589592073333,0.1177791925,15.5839610143918,5.46358486460202e-24,1.63789414373421e-21,44.2659724589939,"RFC4","replication factor C subunit 4"
"15856","ILMN_1815745",1.78250880966667,0.3234988465,15.5608124685548,5.90952143352462e-24,1.74795764641747e-21,44.188315039647,"SOX4","SRY-box transcription factor 4"
"13640","ILMN_1790106",-1.7902440322,0.0986075742666667,-15.5046460247143,7.15072711013074e-24,2.08725960804132e-21,43.9996034265542,"PLP1","proteolipid protein 1"
"7700","ILMN_1724898",2.0358512666,0.0143849515,15.4798456946861,7.77972511147251e-24,2.20693364619204e-21,43.9161479384521,"NFE2L3","NFE2 like bZIP transcription factor 3"
"9795","ILMN_1746686",1.7022669,0.0913647893333333,15.4757095948564,7.8899427517733e-24,2.20693364619204e-21,43.9022218274809,"POLR1C","RNA polymerase I and III subunit C"
"12347","ILMN_1775235",-2.01074674086666,-0.3153943759,-15.4731606898428,7.95865000429875e-24,2.20693364619204e-21,43.8936386468343,"AFF3","ALF transcription elongation factor 3"
"15509","ILMN_1811598",-1.78480997966667,0.0513135328333333,-15.4774411567832,7.84360976789808e-24,2.20693364619204e-21,43.9080522083328,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"12099","ILMN_1772521",1.9316506985,0.41635406525,15.4364457969389,9.01816914193328e-24,2.43974468591034e-21,43.7699116872765,"MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like"
"12537","ILMN_1777564",2.3429523502,0.510483856333333,15.4378129355689,8.97626974622366e-24,2.43974468591034e-21,43.7745219886018,"MAD2L1","mitotic arrest deficient 2 like 1"
"4847","ILMN_1695658",1.995812432,0.193690212,15.3221938026485,1.33197973937041e-23,3.54042305829345e-21,43.3837723525384,"KIF20A","kinesin family member 20A"
"5417","ILMN_1701298",1.68391600066667,0.224542633,15.3203111761918,1.34058572347931e-23,3.54042305829345e-21,43.3773954345166,"CCT2","chaperonin containing TCP1 subunit 2"
"1317","ILMN_1662658",1.75371272186667,-0.035707537,15.3046543625847,1.41436998014687e-23,3.69133925171508e-21,43.3243441437314,"PUS1","pseudouridine synthase 1"
"7879","ILMN_1726839",1.716853201,0.1998471575,15.2787438125629,1.5456086397713e-23,3.98695140287053e-21,43.236479353697,"DCUN1D5","defective in cullin neddylation 1 domain containing 5"
"14157","ILMN_1796013",1.94239308533333,-0.148363988,15.2570307297975,1.66502770512907e-23,4.24562926558429e-21,43.1627813732022,"PYCR1","pyrroline-5-carboxylate reductase 1"
"11322","ILMN_1763907",1.931754208,0.408517263333333,15.2129924620452,1.93667040116448e-23,4.88217002039009e-21,43.0131197030634,"CENPW","centromere protein W"
"11944","ILMN_1770692",1.767107122,0.314712532333333,15.2052790912547,1.98866936547352e-23,4.95692597793983e-21,42.9868802829858,"WDR12","WD repeat domain 12"
"15116","ILMN_1807232",1.465507034,0.0558948986666667,15.1985820232516,2.03496042046308e-23,5.01595132972811e-21,42.9640918563875,"STIL","STIL centriolar assembly protein"
"2328","ILMN_1671257",1.99655196266667,0.215665311833333,15.1537575922301,2.37414030932049e-23,5.72477485021366e-21,42.8114154481095,"DKC1","dyskerin pseudouridine synthase 1"
"6866","ILMN_1716445",1.49368643066667,0.203126581,15.1554702134608,2.36018671926705e-23,5.72477485021366e-21,42.8172536080598,"DTYMK","deoxythymidylate kinase"
"1708","ILMN_1665792",2.14874779686667,0.195599483366667,15.1085626356488,2.77409781801476e-23,6.61726731127306e-21,42.6572122069356,"ITGA2","integrin subunit alpha 2"
"1437","ILMN_1663390",2.56394404733333,-0.0793803913333333,15.0823618916865,3.0364880826433e-23,7.14491607237737e-21,42.5676945724901,"CDC20","cell division cycle 20"
"7223","ILMN_1720124",1.25401608513333,-0.0990068591,15.0801539577797,3.05971432958822e-23,7.14491607237737e-21,42.5601468442622,"RCC2","regulator of chromosome condensation 2"
"13326","ILMN_1786396",-1.8210947995,0.0706210289166667,-15.0714162575918,3.15340507654021e-23,7.21264391325598e-21,42.5302711550208,"ZZEF1","zinc finger ZZ-type and EF-hand domain containing 1"
"15301","ILMN_1809440",1.6995267992,0.161515355066667,15.0713851730983,3.15374350696822e-23,7.21264391325598e-21,42.5301648540651,"KIF15","kinesin family member 15"
"5847","ILMN_1705814",2.3825740312,0.2357489303,15.0277549042941,3.66687686952553e-23,8.13459964735544e-21,42.3808363993091,"KRT80","keratin 80"
"8674","ILMN_1735093",1.54183207366667,0.189419149166667,15.0294358833189,3.64562483825239e-23,8.13459964735544e-21,42.3865942965651,"TIMELESS","timeless circadian regulator"
"14688","ILMN_1801939",2.14391194866666,0.115683546333333,15.0281541065566,3.6618185858194e-23,8.13459964735544e-21,42.3822038296422,"CCNB2","cyclin B2"
"13302","ILMN_1786125",2.04787185,0.361001083,15.0212943837698,3.7497268936164e-23,8.2360338027709e-21,42.3587035949295,"CCNA2","cyclin A2"
"1421","ILMN_1663195",1.54449383233333,0.306205925833333,15.0131119737172,3.85737992756328e-23,8.38942316794744e-21,42.3306640323391,"MCM7","minichromosome maintenance complex component 7"
"13693","ILMN_1790859",-2.51297358133333,-0.259270918833333,-15.0013369564104,4.01780617535495e-23,8.65349632952177e-21,42.2902979582095,"PLAC9","placenta associated 9"
"12018","ILMN_1771558",2.243182736,0.332591381666667,14.9956305185455,4.09796154597778e-23,8.74126720538183e-21,42.270729143633,"MCM4","minichromosome maintenance complex component 4"
"1104","ILMN_1660793",1.879186232,0.135708097666667,14.9586820882795,4.65756004076359e-23,9.84031542326661e-21,42.1439208058754,"PAQR4","progestin and adipoQ receptor family member 4"
"3302","ILMN_1680591",1.619100787,0.1984500175,14.9522597173492,4.76243296119028e-23,9.9669634727401e-21,42.1218608163342,"RTKN","rhotekin"
"5681","ILMN_1703906",1.71658503466667,0.090224537,14.9299499743684,5.14563728967836e-23,1.06683007134789e-20,42.045187962397,"HJURP","Holliday junction recognition protein"
"12390","ILMN_1775728",-2.50108928683333,-0.219817507416667,-14.8857022567453,6.0004082470008e-23,1.23252830140246e-20,41.8929275619996,"SFRP1","secreted frizzled related protein 1"
"1709","ILMN_1665797",1.9737233822,0.332036858666667,14.8800115757042,6.12029343010118e-23,1.24562008672812e-20,41.8733268449542,"CSE1L","chromosome segregation 1 like"
"6849","ILMN_1716279",1.579219476,0.168315832666667,14.876465788581,6.19621332697507e-23,1.24960724041468e-20,41.8611117602995,"CENPE","centromere protein E"
"12505","ILMN_1777190",-2.91988054433333,-0.4597818705,-14.8477859413715,6.84633647962849e-23,1.36828043661332e-20,41.7622505024676,"CFD","complement factor D"
"9943","ILMN_1748476",1.64721203,0.0456418026666667,14.8353942361235,7.14816693001126e-23,1.41584763549437e-20,41.7195022317245,"NOP58","NOP58 ribonucleoprotein"
"609","ILMN_1656395",-1.86972006416667,-0.124030020583333,-14.8310486907018,7.2571687683488e-23,1.42167071698915e-20,41.7045064353798,"MYOT","myotilin"
"2993","ILMN_1677765",1.86695384733333,0.196920396333333,14.8291336470692,7.30573664518404e-23,1.42167071698915e-20,41.6978971358134,"LRP8","LDL receptor related protein 8"
"5746","ILMN_1704654",-1.50954501466667,-0.358164632333333,-14.8050435420175,7.94549916829384e-23,1.53272133521244e-20,41.614715121106,"KAT2B","lysine acetyltransferase 2B"
"13292","ILMN_1786065",2.10577410033333,0.2690504324,14.7962506727275,8.19286890608472e-23,1.56681555010848e-20,41.584334838049,"UHRF1","ubiquitin like with PHD and ring finger domains 1"
"3206","ILMN_1679800",1.845107031,0.1639162625,14.78528477681,8.51230870917653e-23,1.6139919350801e-20,41.5464323448621,"BRIX1","biogenesis of ribosomes BRX1"
"5875","ILMN_1706149",1.4853060547,0.261088630483333,14.7769349436282,8.76395852407442e-23,1.64762420252599e-20,41.5175614507472,"PDCD2L","programmed cell death 2 like"
"4577","ILMN_1693233",-1.39941901226667,-0.0956003746666667,-14.7535577603472,9.50923302110729e-23,1.77271281798524e-20,41.4366825331004,"KIAA0513","KIAA0513"
"9237","ILMN_1740609",-1.96327027763333,-0.30777447475,-14.7439676613421,9.83320320648369e-23,1.81783149943862e-20,41.4034826142987,"CCL14","C-C motif chemokine ligand 14"
"9238","ILMN_1740609",-1.96327027763333,-0.30777447475,-14.7439676613421,9.83320320648369e-23,1.81783149943862e-20,41.4034826142987,"CCL15-CCL14","CCL15-CCL14 readthrough (NMD candidate)"
"2614","ILMN_1673991",1.2201772035,0.21147546825,14.7142787298329,1.09086122605871e-22,1.99997235032119e-20,41.30062629564,"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"5883","ILMN_1706238",1.96118625093333,0.349683011,14.6969853610169,1.15890328332646e-22,2.10730413420609e-20,41.2406607905662,"CSE1L","chromosome segregation 1 like"
"9652","ILMN_1745251",1.81370438766667,0.178321691833333,14.694591873704,1.16865267418583e-22,2.10775535968604e-20,41.2323581836703,"DTL","denticleless E3 ubiquitin protein ligase adapter"
"3263","ILMN_1680251",-1.67208241133333,-0.0188743926666667,-14.6918332124551,1.17999238148499e-22,2.11104443474702e-20,41.2227879185944,"SORCS1","sortilin related VPS10 domain containing receptor 1"
"2556","ILMN_1673529",-1.31026630853333,0.0716364246,-14.6643028853459,1.29943379446356e-22,2.28782851558568e-20,41.1272259095829,"PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase"
"12690","ILMN_1779147",1.91116602333333,0.0575338873333333,14.6649647318556,1.29642370977668e-22,2.28782851558568e-20,41.1295244458001,"ENC1","ectodermal-neural cortex 1"
"13427","ILMN_1787815",2.346696116,0.382367991666667,14.6439244449722,1.39565395407992e-22,2.43788876514244e-20,41.0564252391678,"TRIB3","tribbles pseudokinase 3"
"9422","ILMN_1742577",1.55729939443333,0.16093859535,14.5934393172691,1.66622618320111e-22,2.88777825376043e-20,40.8807906648552,"GTPBP4","GTP binding protein 4"
"15320","ILMN_1809590",2.32210928413333,0.142544009666667,14.5785332277925,1.7558313461702e-22,3.01948547158447e-20,40.8288694255573,"GINS2","GINS complex subunit 2"
"5325","ILMN_1700337",1.810759978,0.207317836666667,14.5583874048741,1.8847241052636e-22,3.21620919624367e-20,40.7586507245778,"TROAP","trophinin associated protein"
"10259","ILMN_1751776",1.6317962138,-0.000599851766666668,14.5459026839629,1.96935800304972e-22,3.33497999539351e-20,40.7151082462127,"CKAP2L","cytoskeleton associated protein 2 like"
"4152","ILMN_1689001",1.773615496,0.122955975333333,14.5276483775962,2.10006694162073e-22,3.52938522976623e-20,40.6514066079915,"CDK4","cyclin dependent kinase 4"
"10836","ILMN_1758315",-1.4844963332,-0.2224747474,-14.5186221593602,2.16790315686267e-22,3.61599726555199e-20,40.6198918686464,"SLC9A9","solute carrier family 9 member A9"
"10455","ILMN_1753923",2.72305858876667,0.0203347003833333,14.507834984282,2.25188467511774e-22,3.72804549498596e-20,40.5822147877309,"MYC","MYC proto-oncogene, bHLH transcription factor"
"1791","ILMN_1666530",1.18925045416667,0.143482040616667,14.4946087617475,2.35935550741236e-22,3.87703278343969e-20,40.5359978493492,"ZC3H8","zinc finger CCCH-type containing 8"
"6496","ILMN_1712803",2.02484122196667,0.239765849516667,14.4792047866136,2.49107407465747e-22,4.06338141707363e-20,40.4821421665545,"CCNB1","cyclin B1"
"11037","ILMN_1760650",1.33148752,0.076187813,14.4692236675832,2.58036468982098e-22,4.1783073196342e-20,40.4472293567969,"DPH2","diphthamide biosynthesis 2"
"960","ILMN_1659364",1.40251803353333,0.311450122,14.4472968393192,2.78804514955645e-22,4.48188359404059e-20,40.37048591806,"RFC5","replication factor C subunit 5"
"3942","ILMN_1686915",1.42600711133333,0.215471365666667,14.403536596929,3.2544209278492e-22,5.14507523094032e-20,40.2171373482589,"CCDC34","coiled-coil domain containing 34"
"8930","ILMN_1737728",2.0655817268,0.224399849166667,14.3987441324818,3.31006731122327e-22,5.14507523094032e-20,40.2003278920321,"CDCA3","cell division cycle associated 3"
"9353","ILMN_1741954",1.05805440013333,0.165707724333333,14.4013250012077,3.27998186414831e-22,5.14507523094032e-20,40.2093806029839,"SMYD3","SET and MYND domain containing 3"
"11656","ILMN_1768094",-1.2124540654,0.166940290966667,-14.3981902354057,3.31656039498948e-22,5.14507523094032e-20,40.1983849166992,"GLTP","glycolipid transfer protein"
"13197","ILMN_1784860",1.64112217313333,0.144304680333333,14.4058665674617,3.22770947905348e-22,5.14507523094032e-20,40.2253085757859,"RFC3","replication factor C subunit 3"
"14016","ILMN_1794539",1.62541768216667,0.151052698916667,14.3845293631385,3.48083768288784e-22,5.36242383035998e-20,40.150452188353,"KIF11","kinesin family member 11"
"10632","ILMN_1755954",-1.29638465323333,-0.00101863371666667,-14.3563569348192,3.84605636888789e-22,5.88420099913165e-20,40.0515245210628,"CPEB3","cytoplasmic polyadenylation element binding protein 3"
"15439","ILMN_1810901",1.57237328233333,0.165882978833333,14.3271993485002,4.26490323335394e-22,6.48031598141943e-20,39.9490277233775,"RNASEH2A","ribonuclease H2 subunit A"
"8579","ILMN_1733950",1.9380582596,0.125199577,14.3026562798111,4.65301442484924e-22,7.02193687080649e-20,39.862665668662,"BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B"
"11248","ILMN_1763228",-1.3340579368,0.00221081006666666,-14.2801961219671,5.03939958023003e-22,7.55365137079886e-20,39.7835636339612,"MEF2D","myocyte enhancer factor 2D"
"1919","ILMN_1667670",1.48074945326667,0.230516243833333,14.2559548970929,5.49290259035692e-22,8.17186153980333e-20,39.6981145514955,"SLC25A15","solute carrier family 25 member 15"
"14344","ILMN_1797933",1.31842524,-0.094580329,14.2542906002449,5.52551041728498e-22,8.17186153980333e-20,39.6922451587146,"MRPL17","mitochondrial ribosomal protein L17"
"6155","ILMN_1709094",-1.63632655586667,-0.161724211933333,-14.2459415102619,5.69206543895214e-22,8.31848604851121e-20,39.6627953489748,"LIFR","LIF receptor subunit alpha"
"15815","ILMN_1815190",1.36664708153333,-0.1168532041,14.2455673145407,5.69964785148622e-22,8.31848604851121e-20,39.6614752311539,"METTL1","methyltransferase 1, tRNA methylguanosine"
"6137","ILMN_1708936",1.31018661256667,-0.00251476015000001,14.2316618707197,5.98877117478887e-22,8.68332678049127e-20,39.6124054462469,"EXOSC3","exosome component 3"
"8897","ILMN_1737396",1.1952122712,0.0798140075,14.2271955024324,6.08474518924516e-22,8.76519397910484e-20,39.5966390554649,"PSMD14","proteasome 26S subunit, non-ATPase 14"
"4690","ILMN_1694177",1.63390477886667,0.297596262566667,14.2127824046291,6.40518302560283e-22,9.1672632412886e-20,39.5457425932126,"PCNA","proliferating cell nuclear antigen"
"11587","ILMN_1767219",1.41667776673333,0.143645429233333,14.1882342524975,6.99069943118629e-22,9.94113308855364e-20,39.4589937626432,"POLR1C","RNA polymerase I and III subunit C"
