"initial_alias","converted_alias","name","description","namespace"
"ESM1","ENSG00000164283","ESM1","endothelial cell specific molecule 1 [Source:HGNC Symbol;Acc:HGNC:3466]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMMR","ENSG00000072571","HMMR","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FANCI","ENSG00000140525","FANCI","FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BYSL","ENSG00000112578","BYSL","bystin like [Source:HGNC Symbol;Acc:HGNC:1157]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C19ORF48P","ENSG00000167747","C19orf48P","chromosome 19 open reading frame 48, pseudogene [Source:HGNC Symbol;Acc:HGNC:29667]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"C19ORF48P","ENSG00000293495","C19orf48P","multidrug resistance-related protein [Source:NCBI gene (formerly Entrezgene);Acc:84798]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"RPL34","ENSG00000109475","RPL34","ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RFC4","ENSG00000163918","RFC4","replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOX4","ENSG00000124766","SOX4","SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFE2L3","ENSG00000050344","NFE2L3","NFE2 like bZIP transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:7783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR1C","ENSG00000171453","POLR1C","RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTHFD1L","ENSG00000120254","MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAD2L1","ENSG00000164109","MAD2L1","mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF20A","ENSG00000112984","KIF20A","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCT2","ENSG00000166226","CCT2","chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PUS1","ENSG00000177192","PUS1","pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCUN1D5","ENSG00000137692","DCUN1D5","defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PYCR1","ENSG00000183010","PYCR1","pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPW","ENSG00000203760","CENPW","centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR12","ENSG00000138442","WDR12","WD repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:14098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STIL","ENSG00000123473","STIL","STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DKC1","ENSG00000130826","DKC1","dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DTYMK","ENSG00000168393","DTYMK","deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA2","ENSG00000164171","ITGA2","integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC20","ENSG00000117399","CDC20","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RCC2","ENSG00000179051","RCC2","regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF15","ENSG00000163808","KIF15","kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT80","ENSG00000167767","KRT80","keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TIMELESS","ENSG00000111602","TIMELESS","timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB2","ENSG00000157456","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNA2","ENSG00000145386","CCNA2","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM7","ENSG00000166508","MCM7","minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM4","ENSG00000104738","MCM4","minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAQR4","ENSG00000162073","PAQR4","progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RTKN","ENSG00000114993","RTKN","rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HJURP","ENSG00000123485","HJURP","Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSE1L","ENSG00000124207","CSE1L","chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPE","ENSG00000138778","CENPE","centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOP58","ENSG00000055044","NOP58","NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRP8","ENSG00000157193","LRP8","LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UHRF1","ENSG00000276043","UHRF1","ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRIX1","ENSG00000113460","BRIX1","biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCD2L","ENSG00000126249","PDCD2L","programmed cell death 2 like [Source:HGNC Symbol;Acc:HGNC:28194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATIC","ENSG00000138363","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSE1L","ENSG00000124207","CSE1L","chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DTL","ENSG00000143476","DTL","denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENC1","ENSG00000171617","ENC1","ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIB3","ENSG00000101255","TRIB3","tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTPBP4","ENSG00000107937","GTPBP4","GTP binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21535]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GINS2","ENSG00000131153","GINS2","GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TROAP","ENSG00000135451","TROAP","trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CKAP2L","ENSG00000169607","CKAP2L","cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK4","ENSG00000135446","CDK4","cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYC","ENSG00000136997","MYC","MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZC3H8","ENSG00000144161","ZC3H8","zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB1","ENSG00000134057","CCNB1","cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DPH2","ENSG00000132768","DPH2","diphthamide biosynthesis 2 [Source:HGNC Symbol;Acc:HGNC:3004]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RFC5","ENSG00000111445","RFC5","replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC34","ENSG00000109881","CCDC34","coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA3","ENSG00000111665","CDCA3","cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMYD3","ENSG00000185420","SMYD3","SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RFC3","ENSG00000133119","RFC3","replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF11","ENSG00000138160","KIF11","kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNASEH2A","ENSG00000104889","RNASEH2A","ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1B","ENSG00000156970","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A15","ENSG00000102743","SLC25A15","solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL17","ENSG00000158042","MRPL17","mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"METTL1","ENSG00000037897","METTL1","methyltransferase 1, tRNA methylguanosine [Source:HGNC Symbol;Acc:HGNC:7030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EXOSC3","ENSG00000107371","EXOSC3","exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMD14","ENSG00000115233","PSMD14","proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCNA","ENSG00000132646","PCNA","proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR1C","ENSG00000171453","POLR1C","RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EXOSC5","ENSG00000077348","EXOSC5","exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUF2","ENSG00000143228","NUF2","NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCAF13","ENSG00000164934","DCAF13","DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD54L","ENSG00000085999","RAD54L","RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL3","ENSG00000114686","MRPL3","mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLD2","ENSG00000106628","POLD2","DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SAPCD2","ENSG00000186193","SAPCD2","suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOB1","ENSG00000141101","NOB1","NIN1 (RPN12) binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZMYND19","ENSG00000165724","ZMYND19","zinc finger MYND-type containing 19 [Source:HGNC Symbol;Acc:HGNC:21146]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS17","ENSG00000239789","MRPS17","mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HACD3","ENSG00000074696","HACD3","3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL50","ENSG00000136897","MRPL50","mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFXL1","ENSG00000170448","NFXL1","nuclear transcription factor, X-box binding like 1 [Source:HGNC Symbol;Acc:HGNC:18726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF2C","ENSG00000142945","KIF2C","kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TK1","ENSG00000167900","TK1","thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EBNA1BP2","ENSG00000117395","EBNA1BP2","EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GMPS","ENSG00000163655","GMPS","guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
